,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Massa_rijklaar,Datum_eerste_toelating,Brandstof_omschrijving,Datum_eerste_toelating_maand
4760,V368JS,Bedrijfsauto,RAM,RAM 1500,2792,2018-01-02,LPG,
4764,V369JS,Bedrijfsauto,RAM,RAM 1500,2792,2018-01-02,LPG,
5072,V790JT,Bedrijfsauto,RAM,RAM 1500 SPORT,2660,2018-01-02,LPG,
13775,ZJ421G,Personenauto,DACIA,LODGY,1280,2018-01-04,LPG,
55948,V733LB,Bedrijfsauto,DODGE,RAM 1500,2792,2018-01-20,LPG,
66680,R870JG,Personenauto,DACIA,SANDERO,1138,2018-01-26,LPG,
70854,V302LH,Bedrijfsauto,RAM,RAM 1500,2832,2018-01-26,LPG,
74391,V627LL,Bedrijfsauto,RAM,RAM 1500,2792,2018-01-29,LPG,
78097,VGF39S,Bedrijfsauto,TOYOTA,TUNDRA,2865,2018-01-30,LPG,
78948,P119LX,Personenauto,OPEL,CORSA-E,1237,2018-01-31,LPG,
78972,P500LX,Personenauto,OPEL,CORSA-E,1237,2018-01-31,LPG,
99222,V825LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-02-08,LPG,
102635,V799LN,Bedrijfsauto,RAM,RAM 1500,2792,2018-02-09,LPG,
102643,V816LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-02-09,LPG,
102648,V826LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2660,2018-02-09,LPG,
102653,V855LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-02-09,LPG,
102667,V872LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2660,2018-02-09,LPG,
103542,V788LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-02-10,LPG,
103544,V830LN,Bedrijfsauto,RAM,RAM 1500 LARAMIE,2660,2018-02-10,LPG,
103546,V871LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-02-10,LPG,
104864,V850LN,Bedrijfsauto,RAM,RAM 1500,2792,2018-02-12,LPG,
106623,V819LN,Bedrijfsauto,RAM,RAM 1500 LARAMIE,2792,2018-02-13,LPG,
106625,V823LN,Bedrijfsauto,RAM,RAM 1500,2792,2018-02-13,LPG,
108888,V856LN,Bedrijfsauto,RAM,RAM 1500 LARAMIE,2792,2018-02-14,LPG,
109749,R514HZ,Personenauto,OPEL,MOKKA X,1500,2018-02-15,LPG,
112049,L279SR,Personenauto,DACIA,DUSTER,1280,2018-02-16,LPG,
114419,V100LR,Bedrijfsauto,DODGE,RAM 1500,2760,2018-02-16,LPG,
118206,K369FD,Personenauto,DACIA,DOKKER,1280,2018-02-20,LPG,
119762,V851LN,Bedrijfsauto,RAM,RAM 1500 LARAMIE,2792,2018-02-20,LPG,
122960,N358HD,Personenauto,OPEL,ZAFIRA TOURER,1664,2018-02-22,LPG,
128481,V843LN,Bedrijfsauto,RAM,RAM 1500 LARAMIE,2792,2018-02-23,LPG,
131984,V882LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-02-26,LPG,
144946,XK883L,Personenauto,FIAT,FIAT TIPO,1385,2018-02-28,LPG,
150047,V874LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2727,2018-03-02,LPG,
159005,V064LX,Bedrijfsauto,DODGE,RAM 1500,2823,2018-03-08,LPG,
168142,V852LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-03-13,LPG,
188799,K949RR,Personenauto,DACIA,SANDERO,1138,2018-03-23,LPG,
225802,TV968H,Personenauto,DACIA,DOKKER,1280,2018-04-05,LPG,
263290,H055FS,Personenauto,DACIA,LOGAN,1165,2018-04-24,LPG,
263739,R950FB,Personenauto,DACIA,LOGAN,1165,2018-04-24,LPG,
335898,H489JR,Personenauto,JEEP,RENEGADE,1505,2018-05-28,LPG,
341693,K005PL,Personenauto,DACIA,DOKKER,1280,2018-05-30,LPG,
367625,VFD74F,Bedrijfsauto,FIAT,FIAT DOBLO,1615,2018-06-07,LPG,
371351,V820LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-06-08,LPG,
375016,V885LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-06-11,LPG,
411969,XT745T,Personenauto,DACIA,DOKKER,1280,2018-06-26,LPG,
432136,V827LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-06-29,LPG,
450542,V812LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-07-02,LPG,
450693,XT482Z,Personenauto,DACIA,DOKKER,1280,2018-07-02,LPG,
451326,K531XG,Personenauto,DACIA,DOKKER,1280,2018-07-03,LPG,
462795,V853LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-07-07,LPG,
464942,ZD972T,Personenauto,DACIA,DOKKER,1280,2018-07-09,LPG,
483772,V849LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-07-18,LPG,
484692,N746SX,Personenauto,DACIA,DOKKER,1280,2018-07-19,LPG,
493345,L113ZS,Personenauto,HYUNDAI,I10,1064,2018-07-24,LPG,
514677,V582XK,Bedrijfsauto,DODGE,RAM 1500,2734,2018-08-01,LPG,
531385,N231TK,Personenauto,DACIA,DOKKER,1280,2018-08-13,LPG,
535205,FL696K,Bromfiets,BENZHOU,YY50QT-10B,114,2018-08-15,LPG,
537203,H801XT,Personenauto,DACIA,DOKKER,1280,2018-08-16,LPG,
556358,N256VH,Personenauto,DACIA,LODGY,1280,2018-08-27,LPG,
580092,ZB578H,Personenauto,OPEL,CORSA-E,1237,2018-08-31,LPG,
595992,V867LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-09-13,LPG,
615937,V862LN,Bedrijfsauto,RAM,RAM 1500 SPORT,2792,2018-09-26,LPG,
627777,V848SK,Bedrijfsauto,DODGE,RAM 1500 LONGHORN CREWCAB,2810,2018-09-28,LPG,
642155,ZP092J,Personenauto,DACIA,DOKKER,1276,2018-10-09,LPG,
660569,L713VJ,Personenauto,OPEL,MOKKA X,1450,2018-10-22,LPG,
663230,VPF31H,Bedrijfsauto,VOLKSWAGEN,CADDY,1461,2018-10-23,LPG,
681583,V769TD,Bedrijfsauto,RAM,RAM 1500 LARAMIE,2503,2018-10-31,LPG,
726850,N338SH,Personenauto,DACIA,DUSTER,1315,2018-11-29,LPG,
747604,K374TJ,Personenauto,DACIA,SANDERO,1164,2018-12-11,LPG,
750174,N323LS,Personenauto,DACIA,DUSTER,1315,2018-12-13,LPG,
760313,N941SG,Personenauto,DACIA,DUSTER,1315,2018-12-21,LPG,
773861,V341TP,Bedrijfsauto,DACIA,DUSTER,1340,2019-01-02,LPG,
805171,J910TS,Personenauto,DACIA,DOKKER,1328,2019-01-14,LPG,
815870,R439LK,Personenauto,DACIA,LODGY,1317,2019-01-18,LPG,
822733,R824GJ,Personenauto,DACIA,DUSTER,1315,2019-01-22,LPG,
835930,VNK91D,Bedrijfsauto,DODGE,DODGE RAM 1500,2660,2019-01-28,LPG,
852421,K257RF,Personenauto,OPEL,CORSA-E,1237,2019-02-04,LPG,
855558,N508ZK,Personenauto,OPEL,CORSA-E,1237,2019-02-06,LPG,
867307,K729ND,Personenauto,DACIA,DOKKER,1361,2019-02-13,LPG,
872187,K366ZN,Personenauto,DACIA,DUSTER,1315,2019-02-15,LPG,
914582,L563DJ,Personenauto,DACIA,LODGY,1325,2019-03-07,LPG,
923759,K615NP,Personenauto,DACIA,DOKKER,1276,2019-03-12,LPG,
926494,V505XJ,Bedrijfsauto,DODGE,RAM 1500 BIG HORN,2737,2019-03-13,LPG,
926655,VRD55K,Bedrijfsauto,DODGE,DODGE RAM 1500,2710,2019-03-13,LPG,
953544,L467NN,Personenauto,NISSAN,NISSAN JUKE,1275,2019-03-26,LPG,
